model,score,width_x,depth_x,dataset,params
resdepth,0.6947189175045164,1.0,2.0,chexpert,643333
resdepth,0.6889919335144974,1.0,2.0,chexpert,643333
resdepth,0.6918383349661771,1.0,2.0,chexpert,643333
resdepth,0.6880236690989812,1.0,2.0,chexpert,643333
resdepth,0.6903768679403923,1.0,2.0,chexpert,643333
resdepth,0.6866984173418559,1.0,2.0,chexpert,643333
resdepth,0.6850992202036326,1.0,2.0,chexpert,643333
resdepth,0.6869830949890133,1.0,2.0,chexpert,643333
resdepth,0.6910895843059175,1.0,2.0,chexpert,643333
resdepth,0.6840855664827515,1.0,2.0,chexpert,643333
resdepth,0.6908137880088028,1.0,2.0,chexpert,643333
resdepth,0.6884311109815735,1.0,2.0,chexpert,643333
resdepth,0.6899187453703017,1.0,2.0,chexpert,643333
resdepth,0.6923945911576576,1.0,2.0,chexpert,643333
resdepth,0.6891310977431673,1.0,2.0,chexpert,643333
resdepth,0.6537321036570131,0.25,2.0,chexpert,164037
resdepth,0.6498087985397539,0.25,2.0,chexpert,164037
resdepth,0.6512108558686714,0.25,2.0,chexpert,164037
resdepth,0.6485373699934087,0.25,2.0,chexpert,164037
resdepth,0.6458762813075634,0.25,2.0,chexpert,164037
resdepth,0.6526608927283334,0.25,2.0,chexpert,164037
resdepth,0.6463762256879793,0.25,2.0,chexpert,164037
resdepth,0.6545083187222598,0.25,2.0,chexpert,164037
resdepth,0.6450275446874717,0.25,2.0,chexpert,164037
resdepth,0.6568415382319522,0.25,2.0,chexpert,164037
resdepth,0.6527056395426991,0.25,2.0,chexpert,164037
resdepth,0.6498196940075873,0.25,2.0,chexpert,164037
resdepth,0.6509857132133579,0.25,2.0,chexpert,164037
resdepth,0.6574498213486357,0.25,2.0,chexpert,164037
resdepth,0.6495520143760429,0.25,2.0,chexpert,164037
resdepth,0.6749704692940959,0.5,3.0,chexpert,385541
resdepth,0.6700467964931989,0.5,3.0,chexpert,385541
resdepth,0.6705751657090507,0.5,3.0,chexpert,385541
resdepth,0.666678370285245,0.5,3.0,chexpert,385541
resdepth,0.6758131729048418,0.5,3.0,chexpert,385541
resdepth,0.6788650773997115,0.5,3.0,chexpert,385541
resdepth,0.6734157835775059,0.5,3.0,chexpert,385541
resdepth,0.6701216722422692,0.5,3.0,chexpert,385541
resdepth,0.6691811436434748,0.5,3.0,chexpert,385541
resdepth,0.6743011491052865,0.5,3.0,chexpert,385541
resdepth,0.6692871771941007,0.5,3.0,chexpert,385541
resdepth,0.6768735172332967,0.5,3.0,chexpert,385541
resdepth,0.6681068751632459,0.5,3.0,chexpert,385541
resdepth,0.667961171834351,0.5,3.0,chexpert,385541
resdepth,0.6716277901814508,0.5,3.0,chexpert,385541
resdepth,0.6571091565092527,0.25,4.0,chexpert,168501
resdepth,0.6467766583529466,0.25,4.0,chexpert,168501
resdepth,0.6581639704145917,0.25,4.0,chexpert,168501
resdepth,0.6484583095596478,0.25,4.0,chexpert,168501
resdepth,0.6487867411438992,0.25,4.0,chexpert,168501
resdepth,0.6511071288988468,0.25,4.0,chexpert,168501
resdepth,0.6463430057436239,0.25,4.0,chexpert,168501
resdepth,0.653621081838351,0.25,4.0,chexpert,168501
resdepth,0.6545023660233755,0.25,4.0,chexpert,168501
resdepth,0.6540708517076752,0.25,4.0,chexpert,168501
resdepth,0.6507567244872824,0.25,4.0,chexpert,168501
resdepth,0.6551819286123333,0.25,4.0,chexpert,168501
resdepth,0.6465309430316545,0.25,4.0,chexpert,168501
resdepth,0.6514180388604404,0.25,4.0,chexpert,168501
resdepth,0.6557745714502345,0.25,4.0,chexpert,168501
resdepth,0.6735242888445229,0.5,0.0,chexpert,390469
resdepth,0.6752142021525901,0.5,0.0,chexpert,390469
resdepth,0.6705922328074548,0.5,0.0,chexpert,390469
resdepth,0.6785378802423931,0.5,0.0,chexpert,390469
resdepth,0.6750093503803731,0.5,0.0,chexpert,390469
