score,time,dataset,model
0.7172675456317122,0 days 00:01:01.013061000,chexpert,resnet_full
0.7178651273232906,0 days 00:01:04.392041000,chexpert,resnet_full
0.7192014046754609,0 days 00:01:07.377544000,chexpert,resnet_full
0.7156644204089931,0 days 00:01:08.397915000,chexpert,resnet_full
0.7202588952320391,0 days 00:01:04.742788000,chexpert,resnet_full
0.6814931495209164,0 days 00:01:04.154521000,chexpert,resnet_0_25_full_depth
0.6755741907647181,0 days 00:01:03.756039000,chexpert,resnet_0_25_full_depth
0.6760292229598807,0 days 00:01:06.701267000,chexpert,resnet_0_25_full_depth
0.6754266947140264,0 days 00:01:04.857514000,chexpert,resnet_0_25_full_depth
0.6732803342247655,0 days 00:01:05.040799000,chexpert,resnet_0_25_full_depth
0.6953340959560832,0 days 00:01:04.457480000,chexpert,resnet_0_5_4
0.6928329659861561,0 days 00:01:05.334635000,chexpert,resnet_0_5_4
0.6942644005982634,0 days 00:01:00.819006000,chexpert,resnet_0_5_4
0.6913035621079974,0 days 00:01:03.550161000,chexpert,resnet_0_5_4
0.6936756286014113,0 days 00:01:03.753035000,chexpert,resnet_0_5_4
0.6972277204261308,0 days 00:01:04.492987000,chexpert,resnet_0_5_full_depth
0.698060692176322,0 days 00:01:05.290094000,chexpert,resnet_0_5_full_depth
0.6949863964249551,0 days 00:01:04.918238000,chexpert,resnet_0_5_full_depth
0.6916162345824921,0 days 00:01:01.468572000,chexpert,resnet_0_5_full_depth
0.6990442149673469,0 days 00:01:02.533031000,chexpert,resnet_0_5_full_depth
0.7038804763637566,0 days 00:01:02.277939000,chexpert,resnet_0_75_4
0.7002191730149743,0 days 00:01:02.243303000,chexpert,resnet_0_75_4
0.7010251685054054,0 days 00:01:01.508036000,chexpert,resnet_0_75_4
0.6992365439320116,0 days 00:01:01.374351000,chexpert,resnet_0_75_4
0.7003850005166278,0 days 00:00:59.227449000,chexpert,resnet_0_75_4
