score,time,dataset,model
0.8946341298809396,0 days 00:01:31.644283000,mura,mobilenet_full
0.8940042405052613,0 days 00:01:32.331394000,mura,mobilenet_full
0.8913103386217796,0 days 00:01:31.888463000,mura,mobilenet_full
0.8933518550804515,0 days 00:01:31.074820000,mura,mobilenet_full
0.8871485695324758,0 days 00:01:28.693355000,mura,mobilenet_full
0.8762295496853365,0 days 00:01:28.418973000,mura,mobilenet_0_25_1
0.8732966272798339,0 days 00:01:29.218546000,mura,mobilenet_0_25_1
0.8742077172696545,0 days 00:01:30.420239000,mura,mobilenet_0_25_1
0.8758274328071132,0 days 00:01:31.339682000,mura,mobilenet_0_25_1
0.8696944474126732,0 days 00:01:31.127621000,mura,mobilenet_0_25_1
0.881097132316137,0 days 00:01:06.316060000,mura,mobilenet_0_5_0_5
0.8762351736976193,0 days 00:01:03.908672000,mura,mobilenet_0_5_0_5
0.8804756789588828,0 days 00:01:05.309174000,mura,mobilenet_0_5_0_5
0.8792833883549203,0 days 00:01:04.127139000,mura,mobilenet_0_5_0_5
0.8836644939232547,0 days 00:01:04.252838000,mura,mobilenet_0_5_0_5
0.8816426615075728,0 days 00:00:51.781931000,mura,mobilenet_0_75_0_3
0.884659944097318,0 days 00:00:53.895433000,mura,mobilenet_0_75_0_3
0.8797979854788003,0 days 00:00:53.154005000,mura,mobilenet_0_75_0_3
0.8791568480785562,0 days 00:00:51.409465000,mura,mobilenet_0_75_0_3
0.8814458210776733,0 days 00:00:51.663151000,mura,mobilenet_0_75_0_3
0.8823709710982008,0 days 00:00:49.013033000,mura,mobilenet_1_0_2
0.8798654736261944,0 days 00:00:49.430703000,mura,mobilenet_1_0_2
0.880183230320175,0 days 00:00:49.869802000,mura,mobilenet_1_0_2
0.881898554066442,0 days 00:00:50.384938000,mura,mobilenet_1_0_2
0.881918238109432,0 days 00:00:50.009643000,mura,mobilenet_1_0_2
