width_x,depth_x,val_score,params,time_per_epoch
1.0,7,0.7259864888848868,11179077,0 days 00:01:31.053285000
1.0,6,0.7230954361218838,9998405,0 days 00:01:26.970359000
1.0,5,0.7214256465814763,9702981,0 days 00:01:22.761328000
1.0,6,0.7215257263035635,10883653,0 days 00:01:26.043335000
1.0,5,0.7238598771520731,10809669,0 days 00:01:13.671804000
1.0,4,0.7221616081591493,9628997,0 days 00:01:13.085119000
0.75,7,0.7200436739473476,7965621,0 days 00:01:16.482570000
0.75,6,0.717793238537933,7301301,0 days 00:01:13.610943000
0.75,5,0.7145558656846507,7135029,0 days 00:01:10.512858000
0.75,6,0.7180862993064214,7799349,0 days 00:01:12.895543000
0.75,5,0.7158719528683721,7757685,0 days 00:01:04.192661000
0.75,4,0.7160270330908036,7093365,0 days 00:01:02.668697000
0.5,7,0.7151347562999233,5293861,0 days 00:01:11.690511000
0.5,6,0.7137409945040034,4998437,0 days 00:01:05.987231000
0.5,5,0.7123003440674609,4924453,0 days 00:01:08.617490000
0.5,6,0.714722178720255,5219877,0 days 00:01:05.987939000
0.5,5,0.7122448307624538,5201317,0 days 00:01:06.861264000
0.5,4,0.7131993943439437,4905893,0 days 00:01:04.427594000
0.25,7,0.7103457173828589,3426965,0 days 00:01:13.983760000
0.25,6,0.7084062839546473,3352981,0 days 00:01:09.151361000
0.25,5,0.7054191764627211,3334421,0 days 00:01:10.030521000
0.25,6,0.7072693501326095,3408405,0 days 00:01:03.765529000
0.25,5,0.7089447088461065,3403733,0 days 00:01:03.377546000
0.25,4,0.7046177404797936,3329749,0 days 00:01:02.136000000
