index,width_x,depth_x,val_score,params,time_per_epoch
0,1.0,0.0,0.6977989621277662,730245,0 days 00:01:02.284030000
1,1.0,1.0,0.6906140025661993,661381,0 days 00:01:01.376835000
2,1.0,2.0,0.6899406138591127,643333,0 days 00:01:02.875894000
3,1.0,3.0,0.6976779863689285,712197,0 days 00:01:02.644787000
4,1.0,4.0,0.6923347258354322,707269,0 days 00:01:02.701631000
5,1.0,5.0,0.6911269732231157,638405,0 days 00:01:03.158207000
6,0.75,0.0,0.6843400051730494,664805,0 days 00:01:04.364679000
7,0.75,1.0,0.6817017870376713,625445,0 days 00:01:01.607816000
8,0.75,2.0,0.6728141517755635,614981,0 days 00:01:01.813395000
9,0.75,3.0,0.6798710929364321,654341,0 days 00:01:02.705571000
10,0.75,4.0,0.6841666660607952,651413,0 days 00:01:03.178050000
11,0.75,5.0,0.6795437556067729,612053,0 days 00:01:04.422299000
12,0.5,0.0,0.6777669327646269,390469,0 days 00:01:03.439063000
13,0.5,1.0,0.6635627746203918,372421,0 days 00:01:02.482042000
14,0.5,2.0,0.6706008664928916,367493,0 days 00:01:13.973677000
15,0.5,3.0,0.676626615213044,385541,0 days 00:01:10.037269000
16,0.5,4.0,0.6768921889160925,384101,0 days 00:01:04.989243000
17,0.5,5.0,0.6692246549735407,366053,0 days 00:01:04.429996000
18,0.25,0.0,0.6577074878667355,170405,0 days 00:01:04.062401000
19,0.25,1.0,0.647995368704881,165477,0 days 00:01:09.263302000
20,0.25,2.0,0.6442060838595124,164037,0 days 00:01:07.792665000
21,0.25,3.0,0.6509657318405897,168965,0 days 00:01:09.304125000
22,0.25,4.0,0.656289813130593,168501,0 days 00:01:10.500437000
23,0.25,5.0,0.6494621401217879,163573,0 days 00:01:06.534870000
