width_x,depth_x,val_score,params,time_per_epoch
1.0,1.0,0.8359784937770305,2225153,0 days 00:01:28.468944000
1.0,0.7,0.8344965665405013,2170881,0 days 00:01:28.917706000
1.0,0.6,0.8359559977278991,1717761,0 days 00:01:12.341598000
1.0,0.5,0.831917956908818,1654657,0 days 00:01:04.151405000
1.0,0.3,0.8316311322823928,1201537,0 days 00:00:51.670429000
1.0,0.2,0.8303882255678846,1147265,0 days 00:00:47.104223000
0.75,1.0,0.8261814643803183,1348249,0 days 00:01:30.905742000
0.75,0.7,0.8317211164789184,1316761,0 days 00:01:26.262974000
0.75,0.6,0.8307790944215423,1057561,0 days 00:01:13.247604000
0.75,0.5,0.8227480048816427,1020745,0 days 00:01:06.711079000
0.75,0.3,0.8338919852200958,761545,0 days 00:00:50.714128000
0.75,0.2,0.8252113222615278,730057,0 days 00:00:47.167354000
0.5,1.0,0.8350336597135128,685729,0 days 00:01:33.001289000
0.5,0.7,0.836909267809841,670881,0 days 00:01:23.937490000
0.5,0.6,0.8235662986687963,551841,0 days 00:01:12.360465000
0.5,0.5,0.8256499952195896,534305,0 days 00:01:05.902394000
0.5,0.3,0.8069276583300058,415265,0 days 00:00:52.433599000
0.5,0.2,0.8139970417695392,400417,0 days 00:00:48.119714000
0.25,1.0,0.8214544820565888,237593,0 days 00:01:30.135809000
0.25,0.7,0.7818923676529309,233241,0 days 00:01:28.682810000
0.25,0.6,0.8160666782896253,200601,0 days 00:01:17.008257000
0.25,0.5,0.80303865383642,195337,0 days 00:01:03.191967000
0.25,0.3,0.7859500925150021,162697,0 days 00:00:55.381113000
0.25,0.2,0.7930588440405153,158345,0 days 00:00:53.089415000
