width_x,depth_x,val_score,params,time_per_epoch
1.0,7,0.8184175154238537,11177025,0 days 00:01:03.022018000
1.0,6,0.8090760310220517,9996353,0 days 00:01:00.259887000
1.0,5,0.8170255723838501,9700929,0 days 00:00:56.047289000
1.0,6,0.8021106918097509,10881601,0 days 00:00:58.746922000
1.0,5,0.8039216237648263,10807617,0 days 00:00:51.095131000
1.0,4,0.8250988420158709,9626945,0 days 00:00:47.982466000
0.75,7,0.7939530619934874,7963569,0 days 00:00:53.611313000
0.75,6,0.7981457631503468,7299249,0 days 00:00:50.438097000
0.75,5,0.8154508489446541,7132977,0 days 00:00:48.619656000
0.75,6,0.8035616869787244,7797297,0 days 00:00:50.365001000
0.75,5,0.8075547356995427,7755633,0 days 00:00:45.943403000
0.75,4,0.8127288269997582,7091313,0 days 00:00:44.620635000
0.5,7,0.7847606139171808,5291809,0 days 00:00:51.239120000
0.5,6,0.8087048462113842,4996385,0 days 00:00:50.545197000
0.5,5,0.810639506436682,4922401,0 days 00:00:46.960827000
0.5,6,0.7928141995062117,5217825,0 days 00:00:46.896465000
0.5,5,0.8093206755563553,5199265,0 days 00:00:43.125913000
0.5,4,0.794917580099995,4903841,0 days 00:00:40.885923000
0.25,7,0.8220787474199843,3424913,0 days 00:00:48.716595000
0.25,6,0.8125994747172528,3350929,0 days 00:00:46.418045000
0.25,5,0.8064777373473784,3332369,0 days 00:00:45.391294000
0.25,6,0.807543487674977,3406353,0 days 00:00:47.976586000
0.25,5,0.8174248772559319,3401681,0 days 00:00:43.445783000
0.25,4,0.8113425079720374,3327697,0 days 00:00:39.418699000
