width_x,depth_x,val_score,params,time_per_epoch
1.0,7,0.639443835,728193,0 days 00:01:02.421098000
1.0,6,0.5246782925,659329,0 days 00:01:01.042728000
1.0,5,0.64792887,641281,0 days 00:00:59.860995000
1.0,6,0.4450268049999999,710145,0 days 00:01:01.160089000
1.0,5,0.470175835,705217,0 days 00:00:58.738582000
1.0,4,0.371656745,636353,0 days 00:00:57.548205000
0.75,7,0.654469325,662753,0 days 00:01:10.536582000
0.75,6,0.513082975,623393,0 days 00:01:08.363756000
0.75,5,0.40738412999999996,612929,0 days 00:01:06.970426000
0.75,6,0.6099651224999999,652289,0 days 00:01:01.009160000
0.75,5,0.600563395,649361,0 days 00:00:59.106368000
0.75,4,0.62627051,610001,0 days 00:01:03.118162000
0.5,7,0.4852133425,388417,0 days 00:01:05.231030000
0.5,6,0.5550180625000001,370369,0 days 00:01:02.944151000
0.5,5,0.37931871,365441,0 days 00:01:00.226080000
0.5,6,0.413714235,383489,0 days 00:01:03.884256000
0.5,5,0.52221423,382049,0 days 00:01:02.182720000
0.5,4,0.4247543775,364001,0 days 00:01:01.453666000
0.25,7,0.525870185,168353,0 days 00:01:11.485987000
0.25,6,0.6256505,163425,0 days 00:01:03.250693000
0.25,5,0.6442698899999999,161985,0 days 00:01:00.795193000
0.25,6,0.6135902675,166913,0 days 00:01:03.099120000
0.25,5,0.48869432,166449,0 days 00:00:59.156510000
0.25,4,0.5511892125,161521,0 days 00:00:59.411506000
