width_x,depth_x,params,dataset,model
1.0,0.0,728193,mura,resdepth
1.0,1.0,659329,mura,resdepth
1.0,2.0,641281,mura,resdepth
1.0,3.0,710145,mura,resdepth
1.0,4.0,705217,mura,resdepth
1.0,5.0,636353,mura,resdepth
0.75,0.0,662753,mura,resdepth
0.75,1.0,623393,mura,resdepth
0.75,2.0,612929,mura,resdepth
0.75,3.0,652289,mura,resdepth
0.75,4.0,649361,mura,resdepth
0.75,5.0,610001,mura,resdepth
0.5,0.0,388417,mura,resdepth
0.5,1.0,370369,mura,resdepth
0.5,2.0,365441,mura,resdepth
0.5,3.0,383489,mura,resdepth
0.5,4.0,382049,mura,resdepth
0.5,5.0,364001,mura,resdepth
0.25,0.0,168353,mura,resdepth
0.25,1.0,163425,mura,resdepth
0.25,2.0,161985,mura,resdepth
0.25,3.0,166913,mura,resdepth
0.25,4.0,166449,mura,resdepth
0.25,5.0,161521,mura,resdepth
1.0,0.0,730245,chexpert,resdepth
1.0,1.0,661381,chexpert,resdepth
1.0,2.0,643333,chexpert,resdepth
1.0,3.0,712197,chexpert,resdepth
1.0,4.0,707269,chexpert,resdepth
1.0,5.0,638405,chexpert,resdepth
0.75,0.0,664805,chexpert,resdepth
0.75,1.0,625445,chexpert,resdepth
0.75,2.0,614981,chexpert,resdepth
0.75,3.0,654341,chexpert,resdepth
0.75,4.0,651413,chexpert,resdepth
0.75,5.0,612053,chexpert,resdepth
0.5,0.0,390469,chexpert,resdepth
0.5,1.0,372421,chexpert,resdepth
0.5,2.0,367493,chexpert,resdepth
0.5,3.0,385541,chexpert,resdepth
0.5,4.0,384101,chexpert,resdepth
0.5,5.0,366053,chexpert,resdepth
0.25,0.0,170405,chexpert,resdepth
0.25,1.0,165477,chexpert,resdepth
0.25,2.0,164037,chexpert,resdepth
0.25,3.0,168965,chexpert,resdepth
0.25,4.0,168501,chexpert,resdepth
0.25,5.0,163573,chexpert,resdepth
1.0,0.0,728193,rsna,resdepth
1.0,1.0,659329,rsna,resdepth
1.0,2.0,641281,rsna,resdepth
1.0,3.0,710145,rsna,resdepth
1.0,4.0,705217,rsna,resdepth
1.0,5.0,636353,rsna,resdepth
0.75,0.0,662753,rsna,resdepth
0.75,1.0,623393,rsna,resdepth
0.75,2.0,612929,rsna,resdepth
0.75,3.0,652289,rsna,resdepth
0.75,4.0,649361,rsna,resdepth
0.75,5.0,610001,rsna,resdepth
0.5,0.0,388417,rsna,resdepth
0.5,1.0,370369,rsna,resdepth
0.5,2.0,365441,rsna,resdepth
0.5,3.0,383489,rsna,resdepth
0.5,4.0,382049,rsna,resdepth
0.5,5.0,364001,rsna,resdepth
0.25,0.0,168353,rsna,resdepth
0.25,1.0,163425,rsna,resdepth
0.25,2.0,161985,rsna,resdepth
0.25,3.0,166913,rsna,resdepth
0.25,4.0,166449,rsna,resdepth
0.25,5.0,161521,rsna,resdepth
1.0,1.0,2225153,mura,mobile
1.0,0.7,2170881,mura,mobile
1.0,0.6,1717761,mura,mobile
1.0,0.5,1654657,mura,mobile
1.0,0.3,1201537,mura,mobile
1.0,0.2,1147265,mura,mobile
0.75,1.0,1348249,mura,mobile
0.75,0.7,1316761,mura,mobile
0.75,0.6,1057561,mura,mobile
0.75,0.5,1020745,mura,mobile
0.75,0.3,761545,mura,mobile
0.75,0.2,730057,mura,mobile
0.5,1.0,685729,mura,mobile
0.5,0.7,670881,mura,mobile
