score,time,dataset,model
0.8796883172392849,0 days 00:00:47.289172000,mura,resnet_full
0.8746548262461404,0 days 00:00:47.231391000,mura,resnet_full
0.8793368164716071,0 days 00:00:48.569498000,mura,resnet_full
0.8754703080271526,0 days 00:00:48.721734000,mura,resnet_full
0.8783104342299883,0 days 00:00:49.476092000,mura,resnet_full
0.8647818726836098,0 days 00:00:50.151141000,mura,resnet_0_25_full_depth
0.8607100877908317,0 days 00:00:48.962630000,mura,resnet_0_25_full_depth
0.8597315096536171,0 days 00:00:49.994406000,mura,resnet_0_25_full_depth
0.860071762396729,0 days 00:00:49.474583000,mura,resnet_0_25_full_depth
0.8630890449864742,0 days 00:00:47.901542000,mura,resnet_0_25_full_depth
0.8601898666546688,0 days 00:00:43.866004000,mura,resnet_0_5_4
0.8627600402679279,0 days 00:00:45.035255000,mura,resnet_0_5_4
0.8648324887941555,0 days 00:00:44.404225000,mura,resnet_0_5_4
0.8608506880979028,0 days 00:00:43.113360000,mura,resnet_0_5_4
0.8567451591314277,0 days 00:00:43.515213000,mura,resnet_0_5_4
0.8742864534416142,0 days 00:00:50.431706000,mura,resnet_0_5_full_depth
0.8672873701556164,0 days 00:00:49.030475000,mura,resnet_0_5_full_depth
0.8709486021517472,0 days 00:00:50.508120000,mura,resnet_0_5_full_depth
0.8752706555911118,0 days 00:00:50.324250000,mura,resnet_0_5_full_depth
0.873957448723068,0 days 00:00:50.633889000,mura,resnet_0_5_full_depth
0.8702034205242705,0 days 00:00:43.403890000,mura,resnet_0_75_4
0.8690420619878634,0 days 00:00:44.174996000,mura,resnet_0_75_4
0.8694104347923897,0 days 00:00:44.633151000,mura,resnet_0_75_4
0.8652514777092274,0 days 00:00:44.304544000,mura,resnet_0_75_4
0.8644613039834879,0 days 00:00:41.687487000,mura,resnet_0_75_4
