score,time,dataset,model
0.9585805150000001,0 days 00:01:02.942308000,rsna,resnet_full
0.9580016399999999,0 days 00:01:06.405155000,rsna,resnet_full
0.9594040900000002,0 days 00:01:06.979827000,rsna,resnet_full
0.9590865900000001,0 days 00:01:05.121651000,rsna,resnet_full
0.9585870025000001,0 days 00:01:06.474010000,rsna,resnet_full
0.9450999325,0 days 00:01:06.383777000,rsna,resnet_0_25_full_depth
0.944475645,0 days 00:01:05.005961000,rsna,resnet_0_25_full_depth
0.9439320524999999,0 days 00:01:06.603671000,rsna,resnet_0_25_full_depth
0.94337876,0 days 00:01:07.014063000,rsna,resnet_0_25_full_depth
0.9446776900000001,0 days 00:01:05.764159000,rsna,resnet_0_25_full_depth
0.9475616,0 days 00:01:05.266478000,rsna,resnet_0_5_4
0.9488021375,0 days 00:01:07.969780000,rsna,resnet_0_5_4
0.9491849225,0 days 00:01:05.885574000,rsna,resnet_0_5_4
0.94848801,0 days 00:01:05.566047000,rsna,resnet_0_5_4
0.9490008475,0 days 00:01:07.536025000,rsna,resnet_0_5_4
0.9510024075000001,0 days 00:01:05.334014000,rsna,resnet_0_5_full_depth
0.9510756125,0 days 00:01:06.551659000,rsna,resnet_0_5_full_depth
0.9512509925,0 days 00:01:08.516747000,rsna,resnet_0_5_full_depth
0.95093978,0 days 00:01:03.302964000,rsna,resnet_0_5_full_depth
0.9520293899999999,0 days 00:01:04.762398000,rsna,resnet_0_5_full_depth
0.9517113575,0 days 00:01:03.955567000,rsna,resnet_0_75_4
0.95186666,0 days 00:01:03.569297000,rsna,resnet_0_75_4
0.95248622,0 days 00:01:02.840306000,rsna,resnet_0_75_4
0.9518250524999999,0 days 00:01:03.848944000,rsna,resnet_0_75_4
0.9519663675000001,0 days 00:01:01.865486000,rsna,resnet_0_75_4
